papper_name,date,headding,data,link,comments
Express,2020-05-08,h4,Lockdown EXTENDED - Dominic Raab says coronavirus still 'deadly and infectious',,
Express,2020-05-08,h4,"COVID-19 patients who have recovered may not be infected again, WHO claims",,
Express,2020-05-08,h4,Mrs Hinch fan reveals quick and cheap hack for cleaning your carpets,,
Express,2020-05-08,h4,Weight loss: Eat this healthy snack daily to lose weight,,
Express,2020-05-08,h4,Coronavirus panic: No10 scrambles after Boris lockdown plan leak sparks furious backlash,,
Express,2020-05-08,h4,Daily crossword: Play today's Crusader Crossword for free - May 7 2020,,
Express,2020-05-08,h4,Kate sparks frenzy as Duchess breaks tradition with Royal Family first 'never seen before',,
Express,2020-05-08,h4,World War 3 panic: Russia reveals TERRIFYING new military weapon as global tensions rise,,
Express,2020-05-08,h4,FTSE 100 LIVE: Bank of England issues terrifying alert in first major coronavirus forecast,,
Express,2020-05-08,h4, News quiz: Test your general knowledge in today's Express challenge - May 7 2020,,
Express,2020-05-08,h4,News quiz: Test your general knowledge in today's Express challenge - May 7 2020,,
Express,2020-05-08,h4,Pirates of the Caribbean 6 ‘is SEPARATE’ to potential female spin-off: TWO movies possible,,
Express,2020-05-08,h4,VE Day: What Germans ‘really think’ of anniversary exposed,,
Express,2020-05-08,h4,Lockdown POLL: Is Boris Johnson right to ease lockdown restrictions on Monday? VOTE,,
Express,2020-05-08,h4,Harry's mysterious post-Megxit accent change in Archie birthday video sparks royal frenzy,,
Express,2020-05-08,h4,Royal snub: How William's name for Michael Middleton 'prickles' Charles,,
Express,2020-05-08,h4,Google Maps Street View: Driver caught in very awkward position,,
Express,2020-05-08,h4,Holidays: This is the best time to arrive at a hotel to boost your chances of an upgrade ,,
Express,2020-05-08,h4,British Airways: BA flights will make 'meaningful return' in July say airline bosses,,
Express,2020-05-08,h4,Martin Lewis reveals that self-employment grant claimants could receive payments on May 21,,
Express,2020-05-08,h4,Coronavirus warning: UK may lose 40 percent of pubs by end of September,,
Express,2020-05-08,h4, Coronavirus poll: Britons split as Boris prepares to sketch out UK’s exit from coronavirus,,
Express,2020-05-08,h4,Coronavirus poll: Britons split as Boris prepares to sketch out UK’s exit from coronavirus,,
Express,2020-05-08,h4,DWP confirms that they will stop any new benefit claimants from using POCA from next week,,
Express,2020-05-08,h4,UK long-range weather forecast: More 'fine weather' to come amid high pressure,,
Express,2020-05-08,h4,Meghan Markle delight: Surprise Hollywood star praises 'clever' Archie in touching tribute,,
Express,2020-05-08,h4,Tyler Perry: Who is Tyler Perry?,,
Express,2020-05-08,h4,Premier League faces major problem as Brighton chief has support to derail restart,,
Express,2020-05-08,h4,Newcastle takeover: £300m Saudi deal 'set to be confirmed within a week',,
Express,2020-05-08,h4,Man Utd on fresh collision course with Alexis Sanchez with stand-off between club and star,,
Express,2020-05-08,h4,How to claim ESA for depression,,
Express,2020-05-08,h4,Lockdown a waste of time? Study suggests no need for such drastic coronavirus measures,,
Express,2020-05-08,h4,Nigel Farage clashes with caller that backs Boris Johnson's lockdown decision,,
Express,2020-05-08,h4,Iran scrambles to buy grain amid growing fears of coronavirus food shortages,,
Express,2020-05-08,h4,Tesco sale clothing: Is there a sale? Can you still buy Tesco clothes online?,,
Express,2020-05-08,h4, Paul Mescal partner: Is the Normal People star dating anyone?,,
Express,2020-05-08,h4,Paul Mescal partner: Is the Normal People star dating anyone?,,
Express,2020-05-08,h4,Royal rivalry: The reason Prince George is jealous of Princess Charlotte during lockdown,,
Express,2020-05-08,h4,Can you be made redundant while on furlough?,,
Express,2020-05-08,h4,Best supplements for cholesterol: Two of the best supplements proven to lower levels,,
Express,2020-05-08,h4,Kate's father 'taught her everything' for coronavirus project 'close to her heart',,
Express,2020-05-08,h4,BT broadband: How to update your router and why you should NEVER turn it off overnight,,
Express,2020-05-08,h4,Amazon scam warning: Whatever you do stay away from these fake emails,,
Express,2020-05-08,h4,Samsung's new 4K TVs are available NOW and they are not as expensive as you think,,
Express,2020-05-08,h4,Princess Eugenie snub: How day important to Eugenie was ignored by Royal Family,,
Express,2020-05-08,h4,World War 2 quiz questions and answers,,
Express,2020-05-08,h4, South China Sea crisis: Crunch talks put on hold amid growing fears of Chinese dominance,,
Express,2020-05-08,h4,South China Sea crisis: Crunch talks put on hold amid growing fears of Chinese dominance,,
Express,2020-05-08,h4,Strictly Come Dancing judge Craig Revel Horwood in heartbreaking romance admission,,
Express,2020-05-08,h4,Strictly Come Dancing star speaks on professional’s shock exit 'Time for others to shine',,
Express,2020-05-08,h4,Oti Mabuse: 'Wish I could cuddle you' Strictly pro sends heartfelt message to BBC co-star,,
Express,2020-05-08,h4,Hancock warned 'meaningless' COVID19 testing target making lockdown end 'incredibly risky',,
Express,2020-05-08,h4,Mick Jagger shut Rolling Stones and Beatles feud down 32 YEARS ago? Here's the truth,,
Express,2020-05-08,h4,The Simpsons: Did The Simpsons predict the coronavirus pandemic? Show's producer thinks so,,
Express,2020-05-08,h4,Alastair Campbell scolded for 'lecturing' in coronavirus crisis in furious Sky News clash,,
Express,2020-05-08,h4,Final Fantasy 7 Remake Part 2 release: Is FFVII Remake Part 1 coming to PC next?,,
Express,2020-05-08,h4,Animal Crossing Redd: How to tell which of Redd's paintings are fake,,
Express,2020-05-08,h4,"Xbox Series X Scorn, Madden NFL 21, The Medium, Dirt 5, Yakuza, Extinction, Bloodlines",,
Express,2020-05-08,h4,Russia threat: Putin sends hunter-killer warships to Arctic,,
Express,2020-05-08,h4,"Merkel dooming Germany to second coronavirus wave with lockdown easing, warns expert",,
Express,2020-05-08,h4,"Flights: When will easyJet, Ryanair, BA, TUI & Jet2 fly again? Full list of latest updates",,
Express,2020-05-08,h4,Princess Anne: How royal was brutally snubbed by shock celebrity ‒ 'Vile and contemptible',,
Express,2020-05-08,h4,Can I sunbathe this weekend?,,
Express,2020-05-08,h4, EU trade chief claims Boris Johnson has secret plan to make sure UK leave on December 31,,
Express,2020-05-08,h4,EU trade chief claims Boris Johnson has secret plan to make sure UK leave on December 31,,
Express,2020-05-08,h4,Aldi Super Six offers: What is Aldi's Super 6 offers this week?,,
Express,2020-05-08,h4,Prince William confession: How Duke revealed real reason behind Diana mannerism,,
Express,2020-05-08,h4,Michael Jordan's personal security guard's secret over iconic NBA moment exposed,,
Express,2020-05-08,h4,Coronation Street quiz questions and answers: 15 questions for your Corrie home pub quiz,,
Express,2020-05-08,h4,Lockdown until July? Majority of Brits would find eight more weeks of strict rules 'easy',,
Express,2020-05-08,h4,High blood pressure: The best fruit to add to your diet to lower reading,,
